SN,timestamp,end,Status,Watts,Lumens,Temp,Voltage
SMBLB26,2020-01-01 00:00:00,2020-01-01 01:00:00,1,18.88,324.13,60.53,110
SMBLB27,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,69.88,118
SMBLB28,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,64.48,121
SMBLB29,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,89.82,118
SMBLB30,2020-01-01 01:00:00,2020-01-01 02:00:00,1,18.4,392.84,75.39,124
SMBLB31,2020-01-01 01:00:00,2020-01-01 02:00:00,1,12.99,516.35,63.29,117
SMBLB32,2020-01-01 01:00:00,2020-01-01 02:00:00,1,18.26,699.95,87.51,114
SMBLB33,2020-01-01 01:00:00,2020-01-01 02:00:00,0,0,0,88.12,121
SMBLB34,2020-01-01 02:00:00,2020-01-01 03:00:00,1,13.03,681.15,60.37,116
SMBLB35,2020-01-01 02:00:00,2020-01-01 03:00:00,0,0,0,61.12,121
SMBLB36,2020-01-01 02:00:00,2020-01-01 03:00:00,0,0,0,72.7,113
SMBLB37,2020-01-01 02:00:00,2020-01-01 03:00:00,1,16.33,322.68,79.55,110
SMBLB38,2020-01-01 03:00:00,2020-01-01 04:00:00,0,0,0,69.95,126
SMBLB39,2020-01-01 03:00:00,2020-01-01 04:00:00,0,0,0,70.81,126
SMBLB40,2020-01-01 03:00:00,2020-01-01 04:00:00,1,15.68,471.26,64.21,120
SMBLB41,2020-01-01 03:00:00,2020-01-01 04:00:00,1,15.25,460.79,68.95,121
SMBLB42,2020-01-01 04:00:00,2020-01-01 05:00:00,0,0,0,65.85,118
SMBLB43,2020-01-01 04:00:00,2020-01-01 05:00:00,1,16.24,599.05,63.98,126
SMBLB44,2020-01-01 04:00:00,2020-01-01 05:00:00,1,18.31,369.48,61.79,112
SMBLB45,2020-01-01 04:00:00,2020-01-01 05:00:00,0,0,0,89.46,120
SMBLB46,2020-01-01 05:00:00,2020-01-01 06:00:00,1,18.76,597.55,89.37,119
SMBLB47,2020-01-01 05:00:00,2020-01-01 06:00:00,1,18.53,618.9,76.87,110
SMBLB48,2020-01-01 05:00:00,2020-01-01 06:00:00,1,7.31,603.69,64.65,122
SMBLB49,2020-01-01 05:00:00,2020-01-01 06:00:00,0,0,0,81.27,124
SMBLB26,2020-01-01 06:00:00,2020-01-01 07:00:00,1,8.2,638.6,70.2,126
SMBLB27,2020-01-01 06:00:00,2020-01-01 07:00:00,0,0,0,76.04,124
SMBLB28,2020-01-01 06:00:00,2020-01-01 07:00:00,0,0,0,81.2,112
SMBLB50,2020-01-01 06:00:00,2020-01-01 07:00:00,1,19.51,776.62,67.71,116
SMBLB29,2020-01-01 07:00:00,2020-01-01 08:00:00,1,13.36,737.89,80.22,128
SMBLB30,2020-01-01 07:00:00,2020-01-01 08:00:00,1,15.48,539.59,81.12,120
SMBLB31,2020-01-01 07:00:00,2020-01-01 08:00:00,1,19.5,614.74,84.56,113
SMBLB32,2020-01-01 07:00:00,2020-01-01 08:00:00,1,9.04,639.5,79.85,110
SMBLB33,2020-01-01 08:00:00,2020-01-01 09:00:00,1,8.0,516.81,78.36,128
SMBLB34,2020-01-01 08:00:00,2020-01-01 09:00:00,1,15.3,582.32,60.74,118
SMBLB35,2020-01-01 08:00:00,2020-01-01 09:00:00,1,10.87,611.18,80.62,116
SMBLB36,2020-01-01 08:00:00,2020-01-01 09:00:00,1,9.09,309.8,88.68,114
SMBLB37,2020-01-01 09:00:00,2020-01-01 10:00:00,1,6.61,528.87,60.04,128
SMBLB38,2020-01-01 09:00:00,2020-01-01 10:00:00,1,18.17,625.75,74.86,124
SMBLB39,2020-01-01 09:00:00,2020-01-01 10:00:00,1,8.89,650.51,89.37,120
SMBLB40,2020-01-01 09:00:00,2020-01-01 10:00:00,1,19.02,347.68,61.03,128
SMBLB41,2020-01-01 10:00:00,2020-01-01 11:00:00,1,12.33,394.45,65.07,118
SMBLB42,2020-01-01 10:00:00,2020-01-01 11:00:00,0,0,0,76.52,117
SMBLB43,2020-01-01 10:00:00,2020-01-01 11:00:00,0,0,0,86.35,119
SMBLB44,2020-01-01 10:00:00,2020-01-01 11:00:00,0,0,0,86.93,118
SMBLB45,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,66.75,127
SMBLB46,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,87.72,121
SMBLB47,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,82.49,124
