SN,timestamp,end,Status,Watts,Lumens,Temp,Voltage
SMBLB1,2020-01-01 00:00:00,2020-01-01 01:00:00,1,15.12,333.16,63.65,110
SMBLB2,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,78.27,120
SMBLB3,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,83.22,129
SMBLB4,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,73.69,118
SMBLB5,2020-01-01 01:00:00,2020-01-01 02:00:00,1,13.47,679.64,79.65,119
SMBLB6,2020-01-01 01:00:00,2020-01-01 02:00:00,1,8.69,546.67,60.48,125
SMBLB7,2020-01-01 01:00:00,2020-01-01 02:00:00,1,6.57,410.42,85.13,124
SMBLB8,2020-01-01 01:00:00,2020-01-01 02:00:00,0,0,0,64.14,111
SMBLB10,2020-01-01 02:00:00,2020-01-01 03:00:00,0,0,0,79.4,113
SMBLB11,2020-01-01 02:00:00,2020-01-01 03:00:00,0,0,0,64.62,126
SMBLB12,2020-01-01 02:00:00,2020-01-01 03:00:00,1,19.71,736.69,80.84,126
SMBLB9,2020-01-01 02:00:00,2020-01-01 03:00:00,1,16.8,513.16,78.63,121
SMBLB13,2020-01-01 03:00:00,2020-01-01 04:00:00,0,0,0,82.6,118
SMBLB14,2020-01-01 03:00:00,2020-01-01 04:00:00,0,0,0,75.69,119
SMBLB15,2020-01-01 03:00:00,2020-01-01 04:00:00,1,8.08,719.0,73.91,118
SMBLB16,2020-01-01 03:00:00,2020-01-01 04:00:00,1,16.44,797.91,89.7,124
SMBLB17,2020-01-01 04:00:00,2020-01-01 05:00:00,0,0,0,79.9,114
SMBLB18,2020-01-01 04:00:00,2020-01-01 05:00:00,1,14.6,787.24,72.87,117
SMBLB19,2020-01-01 04:00:00,2020-01-01 05:00:00,1,10.49,336.27,87.49,122
SMBLB20,2020-01-01 04:00:00,2020-01-01 05:00:00,0,0,0,80.86,121
SMBLB21,2020-01-01 05:00:00,2020-01-01 06:00:00,1,19.31,386.64,86.1,112
SMBLB22,2020-01-01 05:00:00,2020-01-01 06:00:00,1,10.52,302.92,63.24,114
SMBLB23,2020-01-01 05:00:00,2020-01-01 06:00:00,1,6.09,428.16,87.11,121
SMBLB24,2020-01-01 05:00:00,2020-01-01 06:00:00,0,0,0,64.58,120
SMBLB1,2020-01-01 06:00:00,2020-01-01 07:00:00,1,16.18,680.89,89.79,119
SMBLB2,2020-01-01 06:00:00,2020-01-01 07:00:00,0,0,0,83.86,129
SMBLB25,2020-01-01 06:00:00,2020-01-01 07:00:00,1,11.21,346.29,65.56,120
SMBLB3,2020-01-01 06:00:00,2020-01-01 07:00:00,0,0,0,72.86,129
SMBLB4,2020-01-01 07:00:00,2020-01-01 08:00:00,1,6.78,591.76,79.3,119
SMBLB5,2020-01-01 07:00:00,2020-01-01 08:00:00,1,19.41,762.31,86.12,122
SMBLB6,2020-01-01 07:00:00,2020-01-01 08:00:00,1,5.9,775.41,84.11,120
SMBLB7,2020-01-01 07:00:00,2020-01-01 08:00:00,1,9.96,531.74,78.93,110
SMBLB10,2020-01-01 08:00:00,2020-01-01 09:00:00,1,6.26,719.38,73.48,122
SMBLB11,2020-01-01 08:00:00,2020-01-01 09:00:00,1,11.84,340.19,71.95,112
SMBLB8,2020-01-01 08:00:00,2020-01-01 09:00:00,1,14.68,729.03,80.44,127
SMBLB9,2020-01-01 08:00:00,2020-01-01 09:00:00,1,8.51,574.0,65.57,117
SMBLB12,2020-01-01 09:00:00,2020-01-01 10:00:00,1,18.57,632.74,62.93,115
SMBLB13,2020-01-01 09:00:00,2020-01-01 10:00:00,1,12.68,783.54,79.36,129
SMBLB14,2020-01-01 09:00:00,2020-01-01 10:00:00,1,18.23,657.92,68.21,118
SMBLB15,2020-01-01 09:00:00,2020-01-01 10:00:00,1,14.82,370.49,76.62,121
SMBLB16,2020-01-01 10:00:00,2020-01-01 11:00:00,1,15.74,447.52,89.63,128
SMBLB17,2020-01-01 10:00:00,2020-01-01 11:00:00,0,0,0,79.59,112
SMBLB18,2020-01-01 10:00:00,2020-01-01 11:00:00,0,0,0,81.76,115
SMBLB19,2020-01-01 10:00:00,2020-01-01 11:00:00,0,0,0,71.72,122
SMBLB20,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,80.86,113
SMBLB21,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,80.32,117
SMBLB22,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,78.09,129
SMBLB23,2020-01-01 11:00:00,2020-01-01 12:00:00,0,0,0,72.91,118
SMBLB1,2020-01-01 12:00:00,2020-01-01 13:00:00,1,8.24,503.93,71.87,111
SMBLB2,2020-01-01 12:00:00,2020-01-01 13:00:00,0,0,0,68.37,126
SMBLB24,2020-01-01 12:00:00,2020-01-01 13:00:00,1,15.94,368.14,81.64,120
SMBLB25,2020-01-01 12:00:00,2020-01-01 13:00:00,1,12.29,533.4,83.78,111
SMBLB3,2020-01-01 13:00:00,2020-01-01 14:00:00,0,0,0,82.16,112
SMBLB4,2020-01-01 13:00:00,2020-01-01 14:00:00,1,14.43,770.91,82.78,110
SMBLB5,2020-01-01 13:00:00,2020-01-01 14:00:00,1,14.79,565.86,86.31,115
SMBLB6,2020-01-01 13:00:00,2020-01-01 14:00:00,1,19.23,603.68,84.8,111
SMBLB10,2020-01-01 14:00:00,2020-01-01 15:00:00,1,6.76,387.82,84.26,126
SMBLB7,2020-01-01 14:00:00,2020-01-01 15:00:00,0,0,0,88.38,128
SMBLB8,2020-01-01 14:00:00,2020-01-01 15:00:00,1,7.66,333.78,73.05,125
SMBLB9,2020-01-01 14:00:00,2020-01-01 15:00:00,0,0,0,81.11,111
SMBLB11,2020-01-01 15:00:00,2020-01-01 16:00:00,1,16.95,625.76,83.72,123
SMBLB12,2020-01-01 15:00:00,2020-01-01 16:00:00,1,15.2,708.35,85.0,125
SMBLB13,2020-01-01 15:00:00,2020-01-01 16:00:00,1,13.73,603.52,86.12,118
SMBLB14,2020-01-01 15:00:00,2020-01-01 16:00:00,1,16.07,522.1,76.09,116
SMBLB15,2020-01-01 16:00:00,2020-01-01 17:00:00,1,12.5,514.18,84.22,115
SMBLB16,2020-01-01 16:00:00,2020-01-01 17:00:00,1,8.13,541.35,68.01,110
SMBLB17,2020-01-01 16:00:00,2020-01-01 17:00:00,0,0,0,89.66,122
SMBLB18,2020-01-01 16:00:00,2020-01-01 17:00:00,0,0,0,72.84,111
SMBLB19,2020-01-01 17:00:00,2020-01-01 18:00:00,1,13.9,422.82,81.38,126
SMBLB20,2020-01-01 17:00:00,2020-01-01 18:00:00,0,0,0,72.76,124
SMBLB21,2020-01-01 17:00:00,2020-01-01 18:00:00,0,0,0,75.01,128
SMBLB22,2020-01-01 17:00:00,2020-01-01 18:00:00,1,15.14,709.65,70.29,129
SMBLB1,2020-01-01 18:00:00,2020-01-01 19:00:00,1,19.44,583.99,78.24,111
SMBLB23,2020-01-01 18:00:00,2020-01-01 19:00:00,1,16.12,377.75,69.26,127
SMBLB24,2020-01-01 18:00:00,2020-01-01 19:00:00,1,18.03,479.04,84.55,126
SMBLB25,2020-01-01 18:00:00,2020-01-01 19:00:00,1,12.37,780.88,65.16,116
SMBLB2,2020-01-01 19:00:00,2020-01-01 20:00:00,1,8.84,691.22,82.01,116
SMBLB3,2020-01-01 19:00:00,2020-01-01 20:00:00,1,19.72,598.37,63.45,120
