SN,timestamp,end,Status,Watts,Lumens,Temp,Voltage
SMBLB51,2020-01-01 00:00:00,2020-01-01 01:00:00,1,12.91,614.6,75.75,117
SMBLB51,2020-01-01 06:00:00,2020-01-01 07:00:00,1,19.54,583.17,62.54,110
SMBLB51,2020-01-01 12:00:00,2020-01-01 13:00:00,1,9.74,361.25,78.55,113
SMBLB51,2020-01-01 18:00:00,2020-01-01 19:00:00,1,10.34,510.0,72.46,120
SMBLB51,2020-01-02 00:00:00,2020-01-02 01:00:00,1,6.26,415.42,68.3,129
SMBLB51,2020-01-02 06:00:00,2020-01-02 07:00:00,1,5.48,700.19,62.95,122
SMBLB51,2020-01-02 12:00:00,2020-01-02 13:00:00,1,14.24,787.58,75.9,123
SMBLB51,2020-01-02 18:00:00,2020-01-02 19:00:00,1,6.9,761.97,86.63,128
SMBLB51,2020-01-03 00:00:00,2020-01-03 01:00:00,1,6.34,767.04,86.31,123
SMBLB51,2020-01-03 06:00:00,2020-01-03 07:00:00,1,13.56,634.68,70.59,128
SMBLB51,2020-01-03 12:00:00,2020-01-03 13:00:00,1,12.33,399.62,85.02,114
SMBLB51,2020-01-03 18:00:00,2020-01-03 19:00:00,1,9.84,633.84,83.34,127
SMBLB51,2020-01-04 00:00:00,2020-01-04 01:00:00,1,7.92,320.21,85.24,123
SMBLB51,2020-01-04 06:00:00,2020-01-04 07:00:00,1,5.06,797.84,77.85,115
SMBLB51,2020-01-04 12:00:00,2020-01-04 13:00:00,1,19.28,723.16,62.06,112
SMBLB51,2020-01-04 18:00:00,2020-01-04 19:00:00,1,10.38,640.25,79.5,110
SMBLB51,2020-01-05 00:00:00,2020-01-05 01:00:00,1,9.5,397.83,85.08,119
SMBLB51,2020-01-05 06:00:00,2020-01-05 07:00:00,1,17.86,745.2,74.16,120
SMBLB51,2020-01-05 12:00:00,2020-01-05 13:00:00,1,19.42,535.02,74.01,120
SMBLB51,2020-01-05 18:00:00,2020-01-05 19:00:00,1,18.01,477.73,77.16,115
SMBLB51,2020-01-06 00:00:00,2020-01-06 01:00:00,1,15.99,358.73,70.37,113
SMBLB51,2020-01-06 06:00:00,2020-01-06 07:00:00,1,15.28,420.45,78.05,126
SMBLB51,2020-01-06 12:00:00,2020-01-06 13:00:00,1,16.7,304.97,84.66,113
SMBLB51,2020-01-06 18:00:00,2020-01-06 19:00:00,1,9.75,664.99,83.75,129
SMBLB51,2020-01-07 00:00:00,2020-01-07 01:00:00,1,15.65,698.06,81.2,112
SMBLB51,2020-01-07 06:00:00,2020-01-07 07:00:00,1,17.52,530.91,77.0,114
SMBLB51,2020-01-07 12:00:00,2020-01-07 13:00:00,1,5.5,724.25,79.3,111
SMBLB51,2020-01-07 18:00:00,2020-01-07 19:00:00,1,7.69,716.71,70.49,123
SMBLB51,2020-01-08 00:00:00,2020-01-08 01:00:00,1,12.59,415.91,62.57,128
SMBLB51,2020-01-08 06:00:00,2020-01-08 07:00:00,1,9.17,583.77,70.6,116
SMBLB51,2020-01-08 12:00:00,2020-01-08 13:00:00,1,7.73,620.27,65.48,120
SMBLB51,2020-01-08 18:00:00,2020-01-08 19:00:00,1,16.35,462.41,72.87,128
SMBLB51,2020-01-09 00:00:00,2020-01-09 01:00:00,1,10.54,547.98,68.59,118
SMBLB51,2020-01-09 06:00:00,2020-01-09 07:00:00,1,18.25,314.17,67.81,113
SMBLB51,2020-01-09 12:00:00,2020-01-09 13:00:00,1,11.62,345.9,67.31,115
SMBLB51,2020-01-09 18:00:00,2020-01-09 19:00:00,1,13.75,732.93,82.55,118
SMBLB51,2020-01-10 00:00:00,2020-01-10 01:00:00,1,16.43,681.35,73.92,116
SMBLB51,2020-01-10 06:00:00,2020-01-10 07:00:00,1,12.31,648.64,85.67,122
SMBLB51,2020-01-10 12:00:00,2020-01-10 13:00:00,1,7.69,524.87,65.95,116
SMBLB51,2020-01-10 18:00:00,2020-01-10 19:00:00,1,10.85,651.81,85.78,113
SMBLB51,2020-01-11 00:00:00,2020-01-11 01:00:00,1,8.9,409.5,61.54,121
SMBLB51,2020-01-11 06:00:00,2020-01-11 07:00:00,1,14.26,367.52,67.7,114
SMBLB51,2020-01-11 12:00:00,2020-01-11 13:00:00,1,15.42,715.97,89.62,117
SMBLB51,2020-01-11 18:00:00,2020-01-11 19:00:00,1,6.0,373.27,63.41,117
SMBLB51,2020-01-12 00:00:00,2020-01-12 01:00:00,1,13.17,408.55,72.51,117
SMBLB51,2020-01-12 06:00:00,2020-01-12 07:00:00,1,16.21,424.44,65.03,119
SMBLB51,2020-01-12 12:00:00,2020-01-12 13:00:00,1,14.03,675.62,84.69,113
SMBLB51,2020-01-12 18:00:00,2020-01-12 19:00:00,1,7.2,683.45,79.94,122
SMBLB51,2020-01-13 00:00:00,2020-01-13 01:00:00,1,9.71,465.92,70.0,126
SMBLB51,2020-01-13 06:00:00,2020-01-13 07:00:00,1,18.12,431.25,84.2,122
SMBLB51,2020-01-13 12:00:00,2020-01-13 13:00:00,1,18.64,752.42,89.83,114
SMBLB51,2020-01-13 18:00:00,2020-01-13 19:00:00,1,7.81,561.44,84.88,111
SMBLB51,2020-01-14 00:00:00,2020-01-14 01:00:00,1,16.43,557.89,61.66,112
SMBLB51,2020-01-14 06:00:00,2020-01-14 07:00:00,1,14.15,445.27,61.89,119
SMBLB51,2020-01-14 12:00:00,2020-01-14 13:00:00,1,11.2,387.17,88.87,124
SMBLB51,2020-01-14 18:00:00,2020-01-14 19:00:00,1,7.66,524.05,60.24,113
SMBLB51,2020-01-15 00:00:00,2020-01-15 01:00:00,1,15.37,736.93,63.01,125
SMBLB51,2020-01-15 06:00:00,2020-01-15 07:00:00,1,9.43,552.81,60.89,114
SMBLB51,2020-01-15 12:00:00,2020-01-15 13:00:00,1,7.36,683.22,65.4,114
SMBLB51,2020-01-15 18:00:00,2020-01-15 19:00:00,1,14.91,597.16,87.54,124
SMBLB51,2020-01-16 01:00:00,2020-01-16 02:00:00,1,19.8,712.05,85.35,113
SMBLB51,2020-01-16 07:00:00,2020-01-16 08:00:00,1,15.46,582.2,79.69,111
SMBLB51,2020-01-16 13:00:00,2020-01-16 14:00:00,1,14.06,631.49,87.97,117
SMBLB51,2020-01-16 19:00:00,2020-01-16 20:00:00,1,12.98,485.01,88.93,129
SMBLB51,2020-01-17 01:00:00,2020-01-17 02:00:00,1,12.51,653.05,60.18,117
SMBLB51,2020-01-17 07:00:00,2020-01-17 08:00:00,1,12.67,417.29,82.37,119
SMBLB51,2020-01-17 13:00:00,2020-01-17 14:00:00,1,14.3,493.53,89.94,114
